infered_area_id,total_ubertaxi_rides,total_yellowtaxi_rides,infered_area_geometry,market_potential
87,31,39,"POLYGON ((-74.01585799999999 40.711765, -74.01787 40.709567, -74.01766500000001 40.708245, -74.01521099999999 40.708533, -74.013735 40.7094, -74.0128 40.7101, -74.01458000000001 40.71149699999999, -74.01585799999999 40.711765))",0.5571428571428572
88,19,3,"POLYGON ((-73.994 40.7588, -73.9935 40.759, -73.9941 40.7594, -73.9943 40.7595, -73.99469999999999 40.7593, -73.99460000000001 40.7591, -73.994 40.7588))",0.13636363636363635
89,9,28,"POLYGON ((-73.9966 40.76, -73.99635699999999 40.758872, -73.99552800000001 40.759282, -73.9944 40.7599, -73.994597 40.76089, -73.996347 40.760147, -73.9966 40.76))",0.7567567567567568
90,18,26,"POLYGON ((-73.9473 40.7743, -73.947 40.7718, -73.94631600000001 40.772187, -73.9456 40.7726, -73.9451 40.7735, -73.94495999999999 40.774412, -73.9456 40.7745, -73.9473 40.7743))",0.5909090909090909
91,8,8,"POLYGON ((-73.97763 40.773512, -73.97712299999999 40.774636, -73.9772 40.7746, -73.97846199999999 40.773499, -73.97845 40.773024, -73.97839999999999 40.7729, -73.97815 40.77305, -73.97763 40.773512))",0.5
92,34,35,"POLYGON ((-73.96420000000001 40.7925, -73.9657 40.7922, -73.9671 40.7902, -73.9684 40.7875, -73.968823 40.786508, -73.9687 40.7864, -73.9684 40.7863, -73.966295 40.789123, -73.9661 40.7894, -73.965602 40.79011, -73.9644 40.792, -73.96420000000001 40.7925))",0.5072463768115942
93,19,18,"POLYGON ((-73.9477 40.7787, -73.94589999999999 40.7796, -73.945532 40.780232, -73.94533299999999 40.782307, -73.945688 40.782207, -73.9487 40.7799, -73.948279 40.778814, -73.9477 40.7787))",0.4864864864864865
94,54,68,"POLYGON ((-73.944518 40.779623, -73.9447 40.7799, -73.949558 40.77866, -73.9507 40.7775, -73.951142 40.775112, -73.951097 40.774972, -73.950867 40.774899, -73.9453 40.7751, -73.945205 40.775212, -73.944518 40.779623))",0.5573770491803278
95,15,5,"POLYGON ((-73.98999999999999 40.7272, -73.9894 40.7277, -73.9894 40.7278, -73.9906 40.7289, -73.9911 40.7288, -73.9913 40.7283, -73.99131 40.728267, -73.991253 40.727638, -73.98999999999999 40.7272))",0.25
96,7,10,"POLYGON ((-73.9697 40.7689, -73.96996 40.76832, -73.96968699999999 40.768437, -73.9691 40.7691, -73.968614 40.770086, -73.96847199999999 40.770452, -73.968845 40.770235, -73.969347 40.769482, -73.9697 40.7689))",0.5882352941176471
97,12,24,"POLYGON ((-73.9709 40.795162, -73.97029999999999 40.7969, -73.9725 40.7962, -73.972747 40.796107, -73.9731 40.7958, -73.97347499999999 40.795425, -73.973 40.7951, -73.97194399999999 40.794457, -73.97178000000001 40.79439199999999, -73.971515 40.794593, -73.9709 40.795162))",0.6666666666666666
